ModelNumber;Timestamp;NumEpochs;ValAccuracy;NumParams;NumFiltersPerLayer;DenseLayerSize;LearningRate;DropoutRate;PoolingType;FilterSize;PaddingType;ActivationFunction;Regularization;OptimizationAlgorithm
1;2021-02-02 15:15:35;6;0.07692307978868484;2961;4; 2; 0.01; 0.05; max; 3; same; relu; l2; adam
2;2021-02-02 15:16:10;6;0.2952403724193573;2961;4; 2; 0.01; 0.1; max; 3; same; relu; l2; adam
3;2021-02-02 15:16:49;7;0.16278846561908722;2961;4; 2; 0.01; 0.2; max; 3; same; relu; l2; adam
4;2021-02-02 15:33:41;14;0.15206730365753174;2961;4; 2; 0.01; 0.5; max; 3; same; relu; l2; adam
5;2021-02-02 15:34:22;7;0.27048078179359436;2961;4; 2; 0.005; 0.05; max; 3; same; relu; l2; adam
6;2021-02-02 15:35:51;16;0.25;2961;4; 2; 0.005; 0.1; max; 3; same; relu; l2; adam
7;2021-02-02 16:50:45;6;0.14394231140613556;2961;4; 2; 0.005; 0.2; max; 3; same; relu; l2; adam
8;2021-02-02 16:51:49;11;0.158942312002182;2961;4; 2; 0.005; 0.5; max; 3; same; relu; l2; adam
9;2021-02-02 16:52:54;11;0.34918269515037537;2961;4; 2; 0.001; 0.05; max; 3; same; relu; l2; adam
10;2021-02-02 18:30:25;10;0.2910577058792114;2961;4; 2; 0.001; 0.1; max; 3; same; relu; l2; adam
11;2021-02-02 20:14:05;15;0.2148076891899109;2961;4; 2; 0.001; 0.2; max; 3; same; relu; l2; adam
12;2021-02-02 20:15:20;13;0.21365384757518768;2961;4; 2; 0.001; 0.5; max; 3; same; relu; l2; adam
13;2021-02-02 20:40:12;7;0.33947116136550903;2961;4; 2; 0.0005; 0.05; max; 3; same; relu; l2; adam
14;2021-02-02 21:17:07;6;0.2698557674884796;2961;4; 2; 0.0005; 0.1; max; 3; same; relu; l2; adam
15;2021-02-02 21:18:29;14;0.21278846263885498;2961;4; 2; 0.0005; 0.2; max; 3; same; relu; l2; adam
16;2021-02-02 21:19:11;7;0.15110577642917633;2961;4; 2; 0.0005; 0.5; max; 3; same; relu; l2; adam
17;2021-02-02 21:39:13;15;0.3386538326740265;2961;4; 2; 0.0001; 0.05; max; 3; same; relu; l2; adam
18;2021-02-02 23:38:44;11;0.3067307770252228;2961;4; 2; 0.0001; 0.1; max; 3; same; relu; l2; adam
19;2021-02-02 23:39:29;8;0.2904326915740967;2961;4; 2; 0.0001; 0.2; max; 3; same; relu; l2; adam
20;2021-02-02 23:40:27;10;0.19461537897586823;2961;4; 2; 0.0001; 0.5; max; 3; same; relu; l2; adam
21;2021-02-02 23:41:29;7;0.26903846859931946;8775;8; 3; 0.01; 0.05; max; 3; same; relu; l2; adam
22;2021-02-03 00:48:53;7;0.24524039030075073;8775;8; 3; 0.01; 0.1; max; 3; same; relu; l2; adam
23;2021-02-03 03:48:57;8;0.15086539089679718;8775;8; 3; 0.01; 0.2; max; 3; same; relu; l2; adam
24;2021-02-03 03:50:31;10;0.15201923251152039;8775;8; 3; 0.01; 0.5; max; 3; same; relu; l2; adam
25;2021-02-03 05:16:27;8;0.26384615898132324;8775;8; 3; 0.005; 0.05; max; 3; same; relu; l2; adam
26;2021-02-03 05:57:30;12;0.24062499403953552;8775;8; 3; 0.005; 0.1; max; 3; same; relu; l2; adam
27;2021-02-03 05:59:13;11;0.1542307734489441;8775;8; 3; 0.005; 0.2; max; 3; same; relu; l2; adam
28;2021-02-03 06:00:20;7;0.15177884697914124;8775;8; 3; 0.005; 0.5; max; 3; same; relu; l2; adam
29;2021-02-03 06:01:17;6;0.3734615445137024;8775;8; 3; 0.001; 0.05; max; 3; same; relu; l2; adam
30;2021-02-03 06:02:16;6;0.21668268740177155;8775;8; 3; 0.001; 0.1; max; 3; same; relu; l2; adam
31;2021-02-03 06:03:21;7;0.21062499284744263;8775;8; 3; 0.001; 0.2; max; 3; same; relu; l2; adam
32;2021-02-03 06:05:06;11;0.17600961029529572;8775;8; 3; 0.001; 0.5; max; 3; same; relu; l2; adam
33;2021-02-03 06:06:06;6;0.42490383982658386;8775;8; 3; 0.0005; 0.05; max; 3; same; relu; l2; adam
34;2021-02-03 06:24:02;6;0.41634616255760193;8775;8; 3; 0.0005; 0.1; max; 3; same; relu; l2; adam
35;2021-02-03 06:25:51;12;0.21774038672447205;8775;8; 3; 0.0005; 0.2; max; 3; same; relu; l2; adam
