ModelNumber;Timestamp;NumEpochs;ValAccuracy;NumParams;HiddenLayerSizes;LearningRate;DropoutRate;ActivationFunction;Regularization;OptimizationAlgorithm
1;2021-02-02 14:29:34;8;0.2742307782173157;1507;(1,); 0.01; 0.05; relu; l2; adam
2;2021-02-02 14:29:42;6;0.07692307978868484;1507;(1,); 0.01; 0.1; relu; l2; adam
3;2021-02-02 14:29:50;6;0.07692307978868484;1507;(1,); 0.01; 0.2; relu; l2; adam
4;2021-02-02 14:29:58;6;0.07692307978868484;1507;(1,); 0.01; 0.5; relu; l2; adam
5;2021-02-02 14:30:06;6;0.07692307978868484;1507;(1,); 0.005; 0.05; relu; l2; adam
6;2021-02-02 14:30:14;6;0.07692307978868484;1507;(1,); 0.005; 0.1; relu; l2; adam
7;2021-02-02 14:30:23;6;0.07692307978868484;1507;(1,); 0.005; 0.2; relu; l2; adam
8;2021-02-02 14:30:32;6;0.07692307978868484;1507;(1,); 0.005; 0.5; relu; l2; adam
9;2021-02-02 14:30:57;20;0.2975480854511261;1507;(1,); 0.001; 0.05; relu; l2; adam
10;2021-02-02 14:31:07;7;0.22735576331615448;1507;(1,); 0.001; 0.1; relu; l2; adam
11;2021-02-02 14:31:16;6;0.22596153616905212;1507;(1,); 0.001; 0.2; relu; l2; adam
12;2021-02-02 14:31:27;8;0.18081730604171753;1507;(1,); 0.001; 0.5; relu; l2; adam
13;2021-02-02 14:31:59;29;0.2980288565158844;1507;(1,); 0.0005; 0.05; relu; l2; adam
14;2021-02-02 14:32:07;7;0.22149038314819336;1507;(1,); 0.0005; 0.1; relu; l2; adam
15;2021-02-02 14:32:15;7;0.21591345965862274;1507;(1,); 0.0005; 0.2; relu; l2; adam
16;2021-02-02 14:32:24;8;0.2001442313194275;1507;(1,); 0.0005; 0.5; relu; l2; adam
17;2021-02-02 14:32:45;20;0.2049519270658493;1507;(1,); 0.0001; 0.05; relu; l2; adam
18;2021-02-02 14:33:06;19;0.2164423018693924;1507;(1,); 0.0001; 0.1; relu; l2; adam
19;2021-02-02 14:33:19;12;0.20817308127880096;1507;(1,); 0.0001; 0.2; relu; l2; adam
20;2021-02-02 14:33:31;12;0.20278845727443695;1507;(1,); 0.0001; 0.5; relu; l2; adam
21;2021-02-02 14:33:49;15;0.524134635925293;7483;(5,); 0.01; 0.05; relu; l2; adam
22;2021-02-02 14:33:59;8;0.49620193243026733;7483;(5,); 0.01; 0.1; relu; l2; adam
23;2021-02-02 14:34:10;10;0.48721152544021606;7483;(5,); 0.01; 0.2; relu; l2; adam
24;2021-02-02 14:34:19;7;0.2740384638309479;7483;(5,); 0.01; 0.5; relu; l2; adam
25;2021-02-02 14:34:31;11;0.5064423084259033;7483;(5,); 0.005; 0.05; relu; l2; adam
26;2021-02-02 14:34:43;9;0.45461538434028625;7483;(5,); 0.005; 0.1; relu; l2; adam
27;2021-02-02 14:34:52;8;0.4221634566783905;7483;(5,); 0.005; 0.2; relu; l2; adam
28;2021-02-02 14:35:00;7;0.2837499976158142;7483;(5,); 0.005; 0.5; relu; l2; adam
29;2021-02-02 14:50:53;12;0.6184134483337402;7483;(5,); 0.001; 0.05; relu; l2; adam
